id,fen,engine,bestmove,eval,wins,draws,losses,depth,seldepth,nodes,time,hashfull
21,nqbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBNRKR w KQkq - 0 1,Stockfish 17.1,h4,0.31,80,911,9,12,22,100459,0.017,0
22,nqbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBNRBKR w KQkq - 0 1,Stockfish 17.1,d4,0.45,126,868,6,12,18,100814,0.015,0
23,nqbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBNRKRB w KQkq - 0 1,Stockfish 17.1,O-O,0.21,57,930,13,10,19,100972,0.016,0
24,nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w KQkq - 0 1,Stockfish 17.1,d4,0.87,384,615,1,11,17,101344,0.018,0
25,nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w KQkq - 0 1,Stockfish 17.1,d4,0.32,81,910,9,10,23,100224,0.017,0
26,nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w KQkq - 0 1,Stockfish 17.1,c4,0.43,115,879,6,11,17,100121,0.017,0
27,nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w KQkq - 0 1,Stockfish 17.1,c4,0.25,64,924,12,13,21,100345,0.017,0
28,nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w KQkq - 0 1,Stockfish 17.1,d4,0.34,86,905,9,11,21,100556,0.018,0
29,nqnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NQNBRKBR w KQkq - 0 1,Stockfish 17.1,c3,0.24,64,924,12,11,16,100248,0.018,0
30,nqnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQNRKBBR w KQkq - 0 1,Stockfish 17.1,f3,0.32,83,908,9,13,19,100550,0.017,0
31,nqnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQNRKRBB w KQkq - 0 1,Stockfish 17.1,f4,0.3,77,913,10,11,19,101244,0.017,0
32,bbnnqrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNQRKR w KQkq - 0 1,Stockfish 17.1,c4,0.81,334,664,2,12,20,100695,0.018,0
33,bnnbqrkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBQRKR w KQkq - 0 1,Stockfish 17.1,h4,0.42,114,880,6,11,17,100665,0.018,0
34,bnnqrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNQRBKR w KQkq - 0 1,Stockfish 17.1,h4,0.31,79,912,9,11,20,100607,0.014,0
35,bnnqrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNQRKRB w KQkq - 0 1,Stockfish 17.1,g3,0.42,114,880,6,11,15,100305,0.019,1
36,nbbnqrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNQRKR w KQkq - 0 1,Stockfish 17.1,e4,0.55,167,829,4,10,16,100953,0.018,0
37,nnbbqrkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBQRKR w KQkq - 0 1,Stockfish 17.1,e4,0.34,88,904,8,11,17,100300,0.018,1
38,nnbqrbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBQRBKR w KQkq - 0 1,Stockfish 17.1,e4,0.26,68,921,11,10,21,100175,0.016,0
39,nnbqrkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBQRKRB w KQkq - 0 1,Stockfish 17.1,d4,0.23,61,927,12,13,20,100113,0.017,1
40,nbnqbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBNQBRKR w KQkq - 0 1,Stockfish 17.1,c4,0.41,109,884,7,12,20,100420,0.017,0
41,nnqbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NNQBBRKR w KQkq - 0 1,Stockfish 17.1,h4,0.67,237,760,3,13,22,100710,0.017,1
42,nnqrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNQRBBKR w KQkq - 0 1,Stockfish 17.1,d4,0.44,121,873,6,12,20,101390,0.02,0
43,nnqrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNQRBKRB w KQkq - 0 1,Stockfish 17.1,c4,0.29,73,917,10,12,18,100770,0.019,1
44,nbnqrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNQRKBR w KQkq - 0 1,Stockfish 17.1,Nab3,0.38,100,893,7,12,19,100577,0.017,0
45,nnqbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NNQBRKBR w KQkq - 0 1,Stockfish 17.1,f4,0.67,239,758,3,10,19,100682,0.019,0
46,nnqrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNQRKBBR w KQkq - 0 1,Stockfish 17.1,c4,0.41,108,885,7,11,19,100052,0.018,0
47,nnqrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNQRKRBB w KQkq - 0 1,Stockfish 17.1,f4,0.28,71,918,11,12,24,100423,0.018,0
48,bbnnrqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRQKR w KQkq - 0 1,Stockfish 17.1,h4,0.26,68,921,11,12,16,100850,0.017,0
49,bnnbrqkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRQKR w KQkq - 0 1,Stockfish 17.1,h4,0.41,108,885,7,13,22,100844,0.017,0
50,bnnrqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNRQBKR w KQkq - 0 1,Stockfish 17.1,e4,0.55,168,828,4,11,15,100300,0.017,0
51,bnnrqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRQKRB w KQkq - 0 1,Stockfish 17.1,c4,0.33,85,906,9,12,18,100923,0.018,1
52,nbbnrqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRQKR w KQkq - 0 1,Stockfish 17.1,e4,0.41,111,882,7,12,22,100278,0.017,1
53,nnbbrqkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRQKR w KQkq - 0 1,Stockfish 17.1,d4,0.5,146,849,5,12,18,100793,0.018,0
54,nnbrqbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBRQBKR w KQkq - 0 1,Stockfish 17.1,d4,0.38,98,895,7,12,23,100485,0.018,1
55,nnbrqkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRQKRB w KQkq - 0 1,Stockfish 17.1,d4,0.24,64,924,12,12,14,100178,0.019,1
56,nbnrbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBQKR w KQkq - 0 1,Stockfish 17.1,d4,0.38,99,894,7,11,16,100209,0.019,0
57,nnrbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBQKR w KQkq - 0 1,Stockfish 17.1,d4,0.39,103,890,7,12,22,100478,0.017,0
58,nnrqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNRQBBKR w KQkq - 0 1,Stockfish 17.1,d4,0.39,102,891,7,11,15,100111,0.018,1
59,nnrqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNRQBKRB w KQkq - 0 1,Stockfish 17.1,g3,0.34,87,904,9,11,20,100672,0.017,0
60,nbnrqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRQKBR w KQkq - 0 1,Stockfish 17.1,Nab3,0.36,92,900,8,11,21,100986,0.017,1
61,nnrbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBQKBR w KQkq - 0 1,Stockfish 17.1,f4,0.39,104,889,7,12,16,100051,0.02,0
62,nnrqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRQKBBR w KQkq - 0 1,Stockfish 17.1,f4,0.5,147,848,5,11,23,100358,0.019,1
63,nnrqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRQKRBB w KQkq - 0 1,Stockfish 17.1,g3,0.3,76,914,10,11,17,100617,0.016,1
64,bbnnrkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKQR w KQkq - 0 1,Stockfish 17.1,b3,0.36,95,897,8,12,17,100672,0.017,0
65,bnnbrkqr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKQR w KQkq - 0 1,Stockfish 17.1,f4,0.3,76,914,10,11,19,100024,0.02,1
66,bnnrkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBQR w KQkq - 0 1,Stockfish 17.1,f3,0.04,32,944,24,9,17,100657,0.018,0
67,bnnrkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKQRB w KQkq - 0 1,Stockfish 17.1,g4,0.34,87,904,9,10,15,100180,0.02,1
68,nbbnrkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKQR w KQkq - 0 1,Stockfish 17.1,c3,0.13,43,939,18,11,16,100654,0.018,0
69,nnbbrkqr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKQR w KQkq - 0 1,Stockfish 17.1,f4,0.61,202,795,3,10,24,100318,0.018,1
70,nnbrkbqr/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBQR w KQkq - 0 1,Stockfish 17.1,f3,0.59,190,807,3,13,21,100127,0.018,0
71,nnbrkqrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKQRB w KQkq - 0 1,Stockfish 17.1,d4,0.65,224,773,3,13,19,100698,0.018,1
72,nbnrbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKQR w KQkq - 0 1,Stockfish 17.1,f3,0.52,155,841,4,12,19,100277,0.018,0
73,nnrbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKQR w KQkq - 0 1,Stockfish 17.1,d4,0.3,76,914,10,10,19,100622,0.02,1
74,nnrkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBQR w KQkq - 0 1,Stockfish 17.1,Nb3,0.42,114,880,6,10,18,100335,0.016,0
75,nnrkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBQRB w KQkq - 0 1,Stockfish 17.1,g4,0.2,55,931,14,8,14,100646,0.018,1
76,nbnrkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRKQBR w KQkq - 0 1,Stockfish 17.1,c3,0.25,65,923,12,11,17,100299,0.018,0
77,nnrbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBKQBR w KQkq - 0 1,Stockfish 17.1,f4,0.49,139,856,5,12,20,100366,0.018,1
78,nnrkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRKQBBR w KQkq - 0 1,Stockfish 17.1,e4,0.29,74,916,10,10,15,101023,0.016,0
79,nnrkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKQRBB w KQkq - 0 1,Stockfish 17.1,g3,0.31,78,912,10,10,18,100477,0.017,1
80,bbnnrkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKRQ w KQkq - 0 1,Stockfish 17.1,g4,0.59,188,808,4,10,12,101226,0.02,0
81,bnnbrkrq/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKRQ w KQkq - 0 1,Stockfish 17.1,g4,0.62,206,791,3,11,21,100162,0.017,1
82,bnnrkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBRQ w KQkq - 0 1,Stockfish 17.1,g4,0.59,187,809,4,9,15,100795,0.022,1
83,bnnrkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKRQB w KQkq - 0 1,Stockfish 17.1,g4,0.63,209,788,3,11,15,100427,0.019,1
84,nbbnrkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKRQ w KQkq - 0 1,Stockfish 17.1,e4,0.34,88,904,8,11,14,100416,0.017,2
85,nnbbrkrq/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKRQ w KQkq - 0 1,Stockfish 17.1,h4,0.81,340,658,2,12,18,100055,0.015,0
86,nnbrkbrq/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBRQ w KQkq - 0 1,Stockfish 17.1,d4,0.42,113,881,6,11,18,100543,0.019,1
87,nnbrkrqb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKRQB w KQkq - 0 1,Stockfish 17.1,f4,0.44,122,872,6,10,20,100648,0.017,1
88,nbnrbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKRQ w KQkq - 0 1,Stockfish 17.1,c4,0.54,164,832,4,11,17,100800,0.017,0
89,nnrbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKRQ w KQkq - 0 1,Stockfish 17.1,g4,0.55,167,829,4,11,13,100415,0.018,1
90,nnrkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBRQ w KQkq - 0 1,Stockfish 17.1,g4,0.31,80,911,9,11,16,100282,0.019,2
91,nnrkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBRQB w KQkq - 0 1,Stockfish 17.1,g4,0.38,100,893,7,9,16,100322,0.02,0
92,nbnrkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBNRKRBQ w KQkq - 0 1,Stockfish 17.1,f4,0.24,64,924,12,9,16,102057,0.018,1
93,nnrbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NNRBKRBQ w KQkq - 0 1,Stockfish 17.1,c4,0.39,103,890,7,11,23,100142,0.018,0
94,nnrkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NNRKRBBQ w KQkq - 0 1,Stockfish 17.1,f4,0.45,125,869,6,10,14,100297,0.017,1
95,nnrkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKRQBB w KQkq - 0 1,Stockfish 17.1,f4,0.35,89,903,8,10,18,100927,0.017,2
96,bbqnrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRNKR w KQkq - 0 1,Stockfish 17.1,b4,0.26,68,921,11,10,23,100655,0.016,0
97,bqnbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRNKR w KQkq - 0 1,Stockfish 17.1,c4,0.61,202,795,3,11,24,100478,0.019,2
98,bqnrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNRNBKR w KQkq - 0 1,Stockfish 17.1,b4,0.23,61,927,12,11,18,101503,0.016,0
99,bqnrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRNKRB w KQkq - 0 1,Stockfish 17.1,c4,0.18,52,933,15,11,21,100344,0.018,2
100,qbbnrnkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRNKR w KQkq - 0 1,Stockfish 17.1,h4,0.38,98,895,7,10,16,100031,0.018,2
101,qnbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRNKR w KQkq - 0 1,Stockfish 17.1,h4,0.39,101,892,7,11,16,100389,0.019,1
102,qnbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBRNBKR w KQkq - 0 1,Stockfish 17.1,c4,0.35,91,901,8,11,16,100105,0.018,1
103,qnbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRNKRB w KQkq - 0 1,Stockfish 17.1,c4,0.32,82,909,9,11,19,100811,0.018,1
104,qbnrbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBNKR w KQkq - 0 1,Stockfish 17.1,d4,0.4,107,886,7,11,16,100010,0.018,0
105,qnrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBNKR w KQkq - 0 1,Stockfish 17.1,d4,0.61,197,800,3,11,17,100465,0.02,1
106,qnrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNRNBBKR w KQkq - 0 1,Stockfish 17.1,d4,0.57,177,819,4,11,17,100378,0.018,0
107,qnrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNRNBKRB w KQkq - 0 1,Stockfish 17.1,d3,0.17,50,935,15,10,15,100811,0.017,1
108,qbnrnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRNKBR w KQkq - 0 1,Stockfish 17.1,c4,0.14,45,938,17,10,14,100498,0.016,0
109,qnrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBNKBR w KQkq - 0 1,Stockfish 17.1,h4,0.14,45,938,17,13,22,100433,0.017,1
110,qnrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRNKBBR w KQkq - 0 1,Stockfish 17.1,d4,0.31,80,911,9,12,19,101726,0.019,2
111,qnrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRNKRBB w KQkq - 0 1,Stockfish 17.1,b4,1.06,555,444,1,12,18,100095,0.017,1
112,bbnqrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRNKR w KQkq - 0 1,Stockfish 17.1,h4,0.43,115,879,6,11,22,100561,0.018,0
113,bnqbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRNKR w KQkq - 0 1,Stockfish 17.1,h4,0.3,78,912,10,11,19,100188,0.018,1
114,bnqrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQRNBKR w KQkq - 0 1,Stockfish 17.1,h4,0.61,197,800,3,12,20,100153,0.016,1
115,bnqrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRNKRB w KQkq - 0 1,Stockfish 17.1,g4,0.26,66,923,11,11,22,100969,0.019,1
116,nbbqrnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRNKR w KQkq - 0 1,Stockfish 17.1,e4,0.44,120,874,6,11,20,100618,0.018,3
117,nqbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRNKR w KQkq - 0 1,Stockfish 17.1,e4,1.11,601,398,1,11,22,102109,0.016,1
118,nqbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBRNBKR w KQkq - 0 1,Stockfish 17.1,c4,0.3,76,914,10,10,18,100803,0.017,2
119,nqbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRNKRB w KQkq - 0 1,Stockfish 17.1,c4,0.31,80,911,9,10,21,100717,0.017,1
120,nbqrbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBNKR w KQkq - 0 1,Stockfish 17.1,c4,0.63,209,788,3,11,19,100346,0.017,0
121,nqrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBNKR w KQkq - 0 1,Stockfish 17.1,d4,0.26,67,922,11,10,17,101255,0.019,1
122,nqrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQRNBBKR w KQkq - 0 1,Stockfish 17.1,d4,0.43,116,878,6,12,19,100205,0.018,2
123,nqrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQRNBKRB w KQkq - 0 1,Stockfish 17.1,O-O,0.21,58,929,13,11,15,100619,0.018,0
124,nbqrnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRNKBR w KQkq - 0 1,Stockfish 17.1,c4,0.18,52,933,15,11,19,100645,0.017,1
125,nqrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBNKBR w KQkq - 0 1,Stockfish 17.1,c4,0.25,64,924,12,11,20,101705,0.018,0
126,nqrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRNKBBR w KQkq - 0 1,Stockfish 17.1,b4,0.14,45,938,17,12,18,100068,0.015,1
127,nqrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRNKRBB w KQkq - 0 1,Stockfish 17.1,f4,0.33,85,906,9,11,17,100757,0.016,2
128,bbnrqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQNKR w KQkq - 0 1,Stockfish 17.1,h4,0.48,134,861,5,12,22,100687,0.017,0
129,bnrbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQNKR w KQkq - 0 1,Stockfish 17.1,h4,0.21,57,930,13,11,19,100044,0.02,2
130,bnrqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRQNBKR w KQkq - 0 1,Stockfish 17.1,h4,0.4,106,887,7,13,19,100345,0.016,0
131,bnrqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQNKRB w KQkq - 0 1,Stockfish 17.1,b4,0.1,39,941,20,10,18,100480,0.018,2
132,nbbrqnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQNKR w KQkq - 0 1,Stockfish 17.1,h4,0.35,89,903,8,14,22,100380,0.016,2
133,nrbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQNKR w KQkq - 0 1,Stockfish 17.1,h4,0.17,49,935,16,11,22,100709,0.017,2
134,nrbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBQNBKR w KQkq - 0 1,Stockfish 17.1,e4,0.4,107,886,7,11,19,100943,0.017,1
135,nrbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQNKRB w KQkq - 0 1,Stockfish 17.1,d4,0.2,54,932,14,12,16,100809,0.017,1
136,nbrqbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBNKR w KQkq - 0 1,Stockfish 17.1,d4,0.49,140,855,5,11,17,101022,0.019,0
137,nrqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBNKR w KQkq - 0 1,Stockfish 17.1,c4,0.2,54,932,14,10,12,100514,0.019,3
138,nrqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRQNBBKR w KQkq - 0 1,Stockfish 17.1,d4,0.45,126,868,6,12,20,100492,0.017,2
139,nrqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRQNBKRB w KQkq - 0 1,Stockfish 17.1,c4,0.38,99,894,7,11,17,100808,0.019,2
140,nbrqnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQNKBR w KQkq - 0 1,Stockfish 17.1,c4,0.48,138,857,5,12,23,101106,0.018,1
141,nrqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBNKBR w KQkq - 0 1,Stockfish 17.1,f4,0.63,209,788,3,10,17,100210,0.018,1
142,nrqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQNKBBR w KQkq - 0 1,Stockfish 17.1,f4,0.34,88,904,8,10,19,101202,0.017,2
143,nrqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQNKRBB w KQkq - 0 1,Stockfish 17.1,f4,0.28,72,918,10,9,16,101304,0.018,2
144,bbnrnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNQKR w KQkq - 0 1,Stockfish 17.1,d4,0.37,96,896,8,9,17,100111,0.018,0
145,bnrbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNQKR w KQkq - 0 1,Stockfish 17.1,e3,0.22,59,928,13,12,23,100023,0.015,0
146,bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w KQkq - 0 1,Stockfish 17.1,d4,0.63,209,788,3,10,15,101129,0.018,1
147,bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w KQkq - 0 1,Stockfish 17.1,b3,0.38,100,893,7,11,18,100997,0.02,1
148,nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w KQkq - 0 1,Stockfish 17.1,e4,0.49,140,855,5,10,17,101083,0.017,4
149,nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w KQkq - 0 1,Stockfish 17.1,e4,0.26,66,923,11,10,20,100188,0.017,2
150,nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w KQkq - 0 1,Stockfish 17.1,d4,0.25,65,923,12,11,18,100059,0.017,3
151,nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w KQkq - 0 1,Stockfish 17.1,O-O,0.17,50,935,15,11,22,100791,0.019,1
152,nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w KQkq - 0 1,Stockfish 17.1,d4,0.54,161,835,4,13,22,100125,0.017,2
153,nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w KQkq - 0 1,Stockfish 17.1,c4,0.52,153,842,5,12,15,100745,0.018,1
154,nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w KQkq - 0 1,Stockfish 17.1,e4,0.47,133,862,5,11,15,100588,0.017,2
155,nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w KQkq - 0 1,Stockfish 17.1,c4,0.27,71,918,11,11,20,101422,0.018,0
